"date","flow"
2016-01-08,-129.44085584368
2016-01-15,-123.711429050991
2016-01-22,-116.299002511161
2016-01-29,-131.814570835658
2016-02-08,-227.043714250837
2016-02-15,-249.772000994001
2016-02-22,-229.852288382394
2016-02-29,-207.209285191127
2016-03-08,-184.567428588867
2016-03-15,-193.362147739955
2016-03-22,-208.847285679408
2016-03-29,-195.991285051618
2016-04-08,-156.121568952288
2016-04-15,-220.308286394392
2016-04-22,-205.714856828962
2016-04-29,-200.62814113072
2016-05-08,-194.886141095843
2016-05-15,-133.597857883998
2016-05-22,-112.83485521589
2016-05-29,-99.789427621024
2016-06-08,-94.9117148263114
2016-06-15,-82.1987152099609
2016-06-22,-71.5985717773438
2016-06-29,-57.9608573913574
2016-07-08,-50.1795714242118
2016-07-15,-46.366142817906
2016-07-22,-39.849000113351
2016-07-29,-33.7761437552316
2016-08-08,-30.275999886649
2016-08-15,-26.8864285605294
2016-08-22,-25.4060001373291
2016-08-29,-26.0058574676514
2016-09-08,-34.3388573782785
2016-09-15,-34.2728576660156
2016-09-22,-30.2860001155308
2016-09-29,-27.6211425236293
2016-10-08,-27.3492853982108
2016-10-15,-28.5507142203195
2016-10-22,-30.5902854374477
2016-10-29,-34.9329997471401
2016-11-08,-52.8995720999581
2016-11-15,-49.1919997079032
2016-11-22,-73.096855708531
2016-11-29,-93.1675720214844
2016-12-08,-87.4461419241769
2016-12-15,-93.4922845023019
2016-12-22,-95.8055725097656
2016-12-29,-111.632857186454
2017-01-08,-100.525426592146
2017-01-15,-103.559141976493
2017-01-22,-113.243570600237
2017-01-29,-122.213287353516
2017-02-08,-110.630571637835
2017-02-15,-100.763286045619
2017-02-22,-100.160143171038
2017-03-01,-125.27014378139
2017-03-08,-167.38185773577
2017-03-15,-160.052568708147
2017-03-22,-176.53700038365
2017-03-29,-171.78842817034
2017-04-08,-135.760143824986
2017-04-15,-109.025714329311
2017-04-22,-100.935999189104
2017-04-29,-108.500857761928
2017-05-08,-102.703714643206
2017-05-15,-90.6814291817801
2017-05-22,-79.8562850952148
2017-05-29,-63.5692868913923
2017-06-08,-51.3304285321917
2017-06-15,-49.5065721784319
2017-06-22,-42.9648568289621
2017-06-29,-38.8630005972726
2017-07-08,-33.2997150421143
2017-07-15,-28.0212860107422
2017-07-22,-24.3748574938093
2017-07-29,-21.0427139827183
2017-08-08,-21.3165716443743
2017-08-15,-19.4540002005441
2017-08-22,-24.7938570295061
2017-08-29,-26.4589999062674
2017-09-08,-40.4391435895647
2017-09-15,-54.2761426653181
2017-09-22,-60.6725703648158
2017-09-29,-59.1428571428571
2017-10-08,-57.1751431056431
2017-10-15,-119.664283752441
2017-10-22,-166.888286045619
2017-10-29,-176.700291224888
2017-11-08,-176.864427839007
2017-11-15,-180.472143990653
2017-11-22,-196.411858694894
2017-11-29,-271.775002615792
2017-12-08,-342.181998116629
2017-12-15,-326.031995500837
2017-12-22,-293.864711216518
2017-12-29,-287.920706612723
2018-01-08,-393.853999546596
2018-01-15,-326.652008056641
2018-01-22,-270.273430960519
2018-01-29,-280.196995326451
2018-02-08,-325.223859514509
2018-02-15,-260.431141444615
2018-02-22,-218.539143153599
2018-03-01,-181.646286010742
2018-03-08,-153.497715541295
2018-03-15,-138.868286132812
2018-03-22,-133.792430332729
2018-03-29,-148.394286019462
2018-04-08,-182.312284197126
2018-04-15,-347.216714041574
2018-04-22,-373.847577776228
2018-04-29,-355.685577392578
2018-05-08,-297.037711007254
2018-05-15,-204.840571812221
2018-05-22,-138.616856166295
2018-05-29,-98.2381428309849
2018-06-08,-64.6025723048619
2018-06-15,-52.5644286019461
2018-06-22,-50.4994294302804
2018-06-29,-48.6951430184501
2018-07-08,-34.6252861022949
2018-07-15,-28.1697142464774
2018-07-22,-22.8672861371722
2018-07-29,-19.7572855268206
2018-08-08,-22.0051427568708
2018-08-15,-21.4618571145194
2018-08-22,-20.2692854745047
2018-08-29,-18.9108570643834
2018-09-08,-19.4178573063442
2018-09-15,-22.1727145058768
2018-09-22,-22.2604288373675
2018-09-29,-27.9959997449602
2018-10-08,-32.629999433245
2018-10-15,-32.9268569946289
2018-10-22,-32.6269994463239
2018-10-29,-35.9641434805734
2018-11-08,-43.2461427961077
2018-11-15,-44.6527143205915
2018-11-22,-45.5162854875837
2018-11-29,-46.3877143859863
2018-12-08,-64.6535715375628
2018-12-15,-87.0429992675781
2018-12-22,-84.8794261387416
2018-12-29,-82.948855808803
2019-01-08,-91.7488566807338
2019-01-15,-102.529427664621
2019-01-22,-94.8552845546177
2019-01-29,-87.2917153494699
2019-02-08,-88.4198564801897
2019-02-15,-166.342430114746
2019-02-22,-268.669575282506
2019-03-01,-245.360573904855
2019-03-08,-224.331137520926
2019-03-15,-252.900288173131
2019-03-22,-322.889142717634
2019-03-29,-346.662139892578
2019-04-08,-263.526140485491
2019-04-15,-214.209145682199
2019-04-22,-160.528141566685
2019-04-29,-113.086856297084
2019-05-08,-86.57385798863
2019-05-15,-74.3367146083287
2019-05-22,-63.1764281136649
2019-05-29,-62.7995709010533
2019-06-08,-56.0264282226562
2019-06-15,-55.2607143947056
2019-06-22,-60.0468575613839
2019-06-29,-53.8341435023717
2019-07-08,-47.6319999694824
2019-07-15,-41.8290007455008
2019-07-22,-48.4714284624372
2019-07-29,-35.6968566349574
2019-08-08,-27.7784287588937
2019-08-15,-30.8245716094971
2019-08-22,-33.0001430511475
2019-08-29,-33.1078575679234
2019-09-08,-47.874142238072
2019-09-15,-54.2300000871931
2019-09-22,-58.5442848205566
2019-09-29,-57.8561428615025
2019-10-08,-68.4117153712681
2019-10-15,-75.420284816197
2019-10-22,-168.739287240165
2019-10-29,-227.150425502232
2019-11-08,-202.776428222656
2019-11-15,-194.169714791434
2019-11-22,-248.637429373605
2019-11-29,-309.070002964565
2019-12-08,-396.120570591518
2019-12-15,-511.202998570033
2019-12-22,-590.728131975446
2019-12-29,-545.675711495536
2020-01-08,-362.075286865234
2020-01-15,-278.593431745257
2020-01-22,-250.222002301897
2020-01-29,-206.876715523856
2020-02-08,-216.776142665318
2020-02-15,-207.339573451451
2020-02-22,-214.158429827009
2020-02-29,-213.129858834403
2020-03-08,-291.954572405134
2020-03-15,-301.473994663783
2020-03-22,-273.302424839565
2020-03-29,-230.608285086496
2020-04-08,-161.65871320452
2020-04-15,-123.60814339774
2020-04-22,-96.1601420811244
2020-04-29,-82.2151412963867
2020-05-08,-78.0211421421596
2020-05-15,-79.3464279174805
2020-05-22,-82.4215709141323
2020-05-29,-68.6441416059222
2020-06-08,-55.0258565630232
2020-06-15,-46.3737144470215
2020-06-22,-52.1802853175572
2020-06-29,-37.5619997297014
2020-07-08,-45.213143484933
2020-07-15,-46.0057138715472
2020-07-22,-45.0461431230818
2020-07-29,-43.3675716945103
2020-08-08,-39.8801433018276
2020-08-15,-32.263285773141
2020-08-22,-26.4031432015555
2020-08-29,-22.7482858385359
2020-09-08,-25.7664285387312
2020-09-15,-26.4324289049421
2020-09-22,-24.6344285692487
2020-09-29,-26.0214279719761
2020-10-08,-35.8237141200474
2020-10-15,-49.3895715985979
2020-10-22,-49.7682860238211
2020-10-29,-111.285714285714
2020-11-08,-168.46628679548
2020-11-15,-157.947570800781
2020-11-22,-135.70242527553
2020-11-29,-136.267717633929
2020-12-08,-155.816569737026
2020-12-15,-173.728286743164
2020-12-22,-215.174429757254
2020-12-29,-235.117002214704
2021-01-08,-308.675144740513
2021-01-15,-255.959856305804
2021-01-22,-210.585000174386
2021-01-29,-294.747000558036
2021-02-08,-216.855429513114
2021-02-15,-174.755569458008
2021-02-22,-156.07328578404
2021-03-01,-252.018862043108
2021-03-08,-244.699855259487
2021-03-15,-221.531287057059
2021-03-22,-220.287002563477
2021-03-29,-176.837855747768
2021-04-08,-138.581571306501
2021-04-15,-157.081144060407
2021-04-22,-173.927287510463
2021-04-29,-153.845142909459
2021-05-08,-134.128858293806
2021-05-15,-167.230856759208
2021-05-22,-186.446572440011
2021-05-29,-243.776000976562
2021-06-08,-224.085856846401
2021-06-15,-167.077429635184
2021-06-22,-120.05642591204
2021-06-29,-85.4028570992606
2021-07-08,-67.0067138671875
2021-07-15,-59.0791435241699
2021-07-22,-52.3510006495884
2021-07-29,-48.9084281921387
2021-08-08,-52.7925714765276
2021-08-15,-60.3869999476842
2021-08-22,-106.20928464617
2021-08-29,-145.966284615653
2021-09-08,-127.485002790179
2021-09-15,-107.501428876604
2021-09-22,-91.9341419764927
2021-09-29,-88.0891440255301
2021-10-08,-140.567999703544
2021-10-15,-227.993140084403
2021-10-22,-214.080570765904
2021-10-29,-175.052568708147
2021-11-08,-159.987289428711
2021-11-15,-192.710141863142
2021-11-22,-172.375429425921
2021-11-29,-146.081427437919
2021-12-08,-115.556001935686
2021-12-15,-110.743000575474
2021-12-22,-130.216999598912
2021-12-29,-118.039285932268
2022-01-08,-144.275143214634
2022-01-15,-146.519858224051
2022-01-22,-176.732142857143
2022-01-29,-172.403141566685
